playername,playerid,team,1920salary,2021salary,2122salary,2223salary,2324salary,2425salary,signedusing,guaranteed
Edmond Sumner,sumneed01,IND,"$2,000,000 ","$2,160,000 ","$2,320,000 ",,,,Cap Space,"$4,160,000 "
Avery Bradley,bradlav01,MEM,"$2,000,000 ",,,,,,,"$2,000,000 "
Noah Vonleh,vonleno01,DEN,"$2,000,000 ",,,,,,MLE,"$2,000,000 "
Landry Shamet,shamela01,LAC,"$1,995,120 ","$2,090,040 ","$3,768,342 ",,,,1st Round Pick,"$4,085,160 "
Mfiondu Kabengele,kabenmf01,LAC,"$1,977,000 ","$2,075,880 ","$2,174,880 ","$3,923,484 ",,,1st Round Pick,"$4,052,880 "
Kyle Kuzma,kuzmaky01,LAL,"$1,974,600 ","$3,562,178 ",,,,,1st Round Pick,"$5,536,778 "
Jordan Poole,poolejo01,GSW,"$1,964,760 ","$2,063,280 ","$2,161,440 ","$3,901,399 ",,,1st Round Pick,"$4,028,040 "
Tony Bradley,bradlto01,UTA,"$1,962,360 ","$3,542,060 ",,,,,1st Round Pick,"$5,504,420 "
Keldon Johnson,johnske04,SAS,"$1,950,600 ","$2,048,040 ","$2,145,720 ","$3,873,025 ",,,1st Round Pick,"$3,998,640 "
Derrick White,whitede01,SAS,"$1,948,080 ","$3,516,284 ",,,,,1st Round Pick,"$5,464,364 "
Robert Williams,williro04,BOS,"$1,937,520 ","$2,029,920 ","$3,661,976 ",,,,1st Round Pick,"$3,967,440 "
Josh Hart,hartjo01,NOP,"$1,934,160 ","$3,491,159 ",,,,,1st Round Pick,"$5,425,319 "
Jacob Evans,evansja02,MIN,"$1,925,880 ","$2,017,320 ","$3,641,263 ",,,,1st Round Pick,"$3,943,200 "
Anderson Varejão,varejan01,POR,"$1,913,345 ","$1,913,345 ",,,,,,"$3,826,690 "
Džanan Musa,musadz01,BRK,"$1,911,600 ","$2,002,800 ","$3,615,054 ",,,,1st Round Pick,"$3,914,400 "
Omari Spellman,spellom01,MIN,"$1,897,800 ","$1,988,280 ","$3,588,845 ",,,,1st Round Pick,"$3,886,080 "
