playername,playerid,team,salary1920,salary2021,salary2122,salary2223,salary2324,salary2425,signedusing,guaranteed
Josh Jackson,jacksjo02,MEM,7059480,,,,,,1st Round Pick,7059480
Dāvis Bertāns,bertada01,WAS,7000000,,,,,,Early Bird Rights,7000000
Ersan İlyasova,ilyaser01,MIL,7000000,7000000,,,,,MLE,7000000
Jaren Jackson,jacksja02,MEM,6927480,7257360,9180560,,,,1st Round Pick,14184840
DeMarre Carroll,carrode01,SAS,6842307,6167887,1252127,,,,,14262321
Nemanja Bjelica,bjeline01,SAC,6825000,7150000,,,,,Cap Space,6825000
Jaylen Brown,brownja02,BOS,6534829,22991071,24830357,26669643,28508929,,1st Round pick,109534829
Jabari Parker,parkeja01,SAC,6500000,6500000,,,,,Cap Space,6500000
Ivica Zubac,zubaciv01,LAC,6481482,7000000,7518518,7518518,,,Bird Rights,21000000
Joakim Noah,noahjo01,NYK,6431666,6431666,6431666,,,,,19294998
Darius Garland,garlada01,CLE,6400920,6720720,7040880,8920795,,,1st Round Pick,13121640
De'Aaron Fox,foxde01,SAC,6392760,8099627,,,,,1st Round Pick,14492387
Trae Young,youngtr01,ATL,6273000,6571800,8326471,,,,1st Round Pick,12844800
Montrezl Harrell,harremo01,LAC,6000000,,,,,,Bird Rights,6000000
Ish Smith,smithis01,WAS,5853659,6146341,,,,,MLE,12000000
Marco Belinelli,belinma01,SAS,5846154,,,,,,MLE,5846154
Jarrett Culver,culveja01,MIN,5813640,6104280,6395160,8109063,,,1st Round Pick,11917920
Jonathan Isaac,isaacjo01,ORL,5806440,7362566,,,,,1st Round Pick,13169006
Rodney Hood,hoodro01,POR,5718000,6003900,,,,,MLE,5718000
Mohamed Bamba,bambamo01,ORL,5697600,5969040,7568742,,,,1st Round Pick,11666640
Timofey Mozgov,mozgoti01,ORL,5573333,5573333,5573334,,,,,16720000
Trey Lyles,lylestr01,SAS,5500000,5500000,,,,,MLE,5500000
Deron Williams,willide01,BRK,5474787,,,,,,,5474787
Aron Baynes,baynear01,PHO,5453280,,,,,,Non-Bird Exception,5453280
Kris Dunn,dunnkr01,CHI,5348007,,,,,,1st Round pick,5348007
Josh Smith,smithjo03,DET,5331729,,,,,,,5331729
Coby White,whiteco01,CHI,5307120,5572680,5837760,7413955,,,1st Round Pick,10879800
Lauri Markkanen,markkla01,CHI,5300400,6731508,,,,,1st Round Pick,12031908
Ryan Anderson,anderry01,MIA,5214583,5214583,5214584,,,,,15643750
Wendell Carter,cartewe01,CHI,5201400,5448840,6920027,,,,1st Round Pick,10650240
Pau Gasol,gasolpa01,SAS,5100000,,,,,,,5100000
Daniel Theis,theisda01,BOS,5000000,5000000,,,,,Early Bird Rights,5000000
Luol Deng,denglu01,LAL,4990000,4990000,4990000,,,,,14970000
Jaxson Hayes,hayesja02,NOP,4862040,5105160,5348280,6803012,,,1st Round Pick,9967200
Buddy Hield,hieldbu01,SAC,4861208,24431818,22477273,20522727,18568182,,1st Round pick,90861208
Frank Ntilikina,ntilila01,NYK,4855800,6176578,,,,,1st Round Pick,11032378
Ed Davis,davised01,UTA,4767000,5005350,,,,,Room Exception,9772350
Richaun Holmes,holmeri01,SAC,4767000,5005350,,,,,Room Exception,9772350
Frank Kaminsky,kaminfr01,PHO,4767000,5005350,,,,,Room Exception,9772350
Mike Scott,scottmi01,PHI,4767000,5005350,,,,,Room Exception,9772350
Avery Bradley,bradlav01,LAL,4767000,5005350,,,,,Room Exception,9772350
Robin Lopez,lopezro01,MIL,4767000,5005350,,,,,Room Exception,4767000
JaMychal Green,greenja01,LAC,4767000,5005350,,,,,Room Exception,4767000
Justin Holiday,holidju01,IND,4767000,,,,,,Room Exception,4767000
Garrett Temple,templga01,BRK,4767000,5005350,,,,,Room Exception,4767000
Enes Kanter,kanteen01,BOS,4767000,5005350,,,,,Room Exception,4767000
Collin Sexton,sextoco01,CLE,4764960,4991880,6349671,,,,1st Round Pick,9756840
Rodney McGruder,mcgruro01,LAC,4629630,5000000,5370370,,,,Cap Space,15000000
Rui Hachimura,hachiru01,WAS,4469160,4692840,4916160,6263188,,,1st Round Pick,9162000
Kevon Looney,looneke01,GSW,4464286,4821429,5178572,,,,Bird Rights,9285715
Dennis Smith,smithde03,NYK,4463640,5686677,,,,,1st Round Pick,10150317
Jamal Murray,murraja01,DEN,4444746,29250000,31590000,33930000,36270000,38610000,1st Round pick,174094746
Kevin Knox,knoxke01,NYK,4380120,4588680,5845978,,,,1st Round Pick,8968800
Cam Reddish,reddica01,ATL,4245720,4458000,4670160,5954454,,,1st Round Pick,8703720
Zach Collins,colliza01,POR,4240200,5406255,,,,,1st Round Pick,9646455
Mikal Bridges,bridgmi01,PHO,4161000,4359000,5557725,,,,1st Round Pick,8520000
Alex Len,lenal01,SAC,4160000,,,,,,Room Exception,4160000
Cameron Johnson,johnsca02,PHO,4033440,4235160,4437000,5887899,,,1st Round Pick,8268600
Malik Monk,monkma01,CHO,4028400,5345687,,,,,1st Round Pick,9374087
Dorian Finney-Smith,finnedo01,DAL,4000000,4000000,4000000,,,,Bird Rights,12000000
JaVale McGee,mcgeeja01,LAL,4000000,4200000,,,,,Cap Space,8200000
Patrick McCaw,mccawpa01,TOR,4000000,4000000,,,,,MLE,8000000
Reggie Bullock,bullore01,NYK,4000000,4200000,,,,,Room Exception,5000000
Shai Gilgeous-Alexander,gilgesh01,OKC,3952920,4141320,5495532,,,,1st Round Pick,8094240
Nicolò Melli,mellini01,NOP,3902439,4097561,,,,,Room Exception,8000000
P.J. Washington,washipj01,CHO,3831840,4023600,4215120,5808435,,,1st Round Pick,7855440
Luke Kennard,kennalu01,DET,3827160,5273826,,,,,1st Round Pick,9100986
Miles Bridges,bridgmi02,CHO,3755400,3934320,5421493,,,,1st Round Pick,7689720
Jakob Poeltl,poeltja01,SAS,3754886,,,,,,1st Round pick,3754886
Tyler Herro,herroty01,MIA,3640200,3822240,4004280,5722116,,,1st Round Pick,7462440
Donovan Mitchell,mitchdo01,UTA,3635760,5195501,,,,,1st Round Pick,8831261
Stanley Johnson,johnsst04,TOR,3623000,3801000,,,,,Bi-annual Exception,3623000
Jake Layman,laymaja01,MIN,3581986,3761085,3940184,,,,Sign and Trade,11283255
Thon Maker,makerth01,DET,3569643,,,,,,1st Round pick,3569643
Jerome Robinson,robinje01,WAS,3567720,3737520,5340916,,,,1st Round Pick,7305240
Allonzo Trier,trieral01,NYK,3551100,,,,,,,3551100
Danuel House,houseda01,HOU,3540000,3717000,3894000,,,,MLE,11151000
Domantas Sabonis,sabondo01,IND,3529555,17187500,18562500,19937500,21312500,,1st Round pick,80529555
Mirza Teletović,teletmi01,MIL,3500000,3500000,,,,,,7000000
Boban Marjanović,marjabo01,DAL,3500000,3500000,,,,,Bi-Annual Exception,7000000
T.J. McConnell,mccontj01,IND,3500000,3500000,,,,,Cap Space,4500000
DeMarcus Cousins,couside01,LAL,3500000,,,,,,,3500000
Taurean Waller-Prince,princta02,BRK,3481986,13942308,15057692,,,,1st Round pick,32481986
Dario Šarić,saricda01,PHO,3481986,,,,,,1st Round pick,3481986
Romeo Langford,langfro01,BOS,3458400,3631200,3804360,5634257,,,1st Round Pick,7089600
Bam Adebayo,adebaba01,MIA,3454080,5115492,,,,,1st Round Pick,8569572
Kyle Korver,korveky01,PHO,3440000,,,,,,,3440000
Michael Porter,portemi01,DEN,3389400,3550800,5258735,,,,1st Round Pick,6940200
Denzel Valentine,valende01,CHI,3377569,,,,,,1st Round pick,3377569
Juan Hernangómez,hernaju01,MIN,3321030,,,,,,1st Round pick,3321030
Sekou Doumbouya,doumbse01,DET,3285120,3449400,3613680,5539771,,,1st Round Pick,6734520
Justin Jackson,jacksju01,DAL,3280920,5029650,,,,,1st Round Pick,8310570
Troy Brown,browntr01,WAS,3219480,3372840,5170564,,,,1st Round Pick,6592320
Jon Leuer,leuerjo01,MIL,3169348,3169348,3169347,,,,,9508043
Yogi Ferrell,ferreyo01,SAC,3150000,,,,,,Cap Space,3150000
Guerschon Yabusele,yabusgu01,BOS,3117240,,,,,,,3117240
Zhaire Smith,smithzh01,PHI,3058800,3204600,4915856,,,,1st Round Pick,6263400
Dwight Howard,howardw01,MEM,3039097,,,,,,,3039097
Khem Birch,birchkh01,ORL,3000000,3000000,,,,,Early Bird Rights,6000000
Ryan Arcidiacono,arcidry01,CHI,3000000,3000000,3000000,,,,Cap space,6000000
Quinn Cook,cookqu01,LAL,3000000,3000000,,,,,Cap Space,4000000
Ömer Aşık,asikom01,CHI,3000000,,,,,,,3000000
Nickeil Alexander-Walker,alexani01,NOP,2964840,3113160,3261480,5009633,,,1st Round Pick,6078000
D.J. Wilson,wilsodj01,MIL,2961120,4548280,,,,,1st Round Pick,7509400
Cedi Osman,osmande01,CLE,2907143,8750000,8050000,7350000,6650000,,MLE,27057143
Donte DiVincenzo,divindo01,MIL,2905800,3044160,4675830,,,,1st Round Pick,5949960
Bryn Forbes,forbebr01,SAS,2875000,,,,,,Early Bird Rights,2875000
Andrew Nicholson,nichoan01,POR,2844429,2844429,2844429,2844429,2844429,,,14222145
Goga Bitadze,bitadgo01,IND,2816760,2957520,3098400,4765339,,,1st Round Pick,5774280
T.J. Leaf,leaftj01,IND,2813280,4326825,,,,,1st Round Pick,7140105
Lonnie Walker,walkelo01,SAS,2760480,2892000,4447896,,,,1st Round Pick,5652480
Alex Caruso,carusal01,LAL,2750000,2750000,,,,,Room Exception,5500000
Malik Beasley,beaslma01,MIN,2731714,,,,,,1st Round pick,2731714
Luka Šamanić,samanlu01,SAS,2689920,2824320,2959080,4556983,,,1st Round Pick,5514240
John Collins,collijo01,ATL,2686560,4137302,,,,,1st Round Pick,6823862
Kevin Huerter,huertke01,ATL,2636280,2761920,4253357,,,,1st Round Pick,5398200
Caris LeVert,leverca01,BRK,2625718,16203704,17500000,18796296,,,1st Round pick,55125718
Marko Guduric,gudurma01,MEM,2625000,2750000,,,,,Bi-annual Exception,5375000
DeAndre' Bembry,bembrde01,ATL,2603982,,,,,,1st Round pick,2603982
Matisse Thybulle,thybuma01,PHI,2582160,2711280,2840160,4379527,,,1st Round Pick,5293440
Harry Giles,gilesha01,SAC,2578800,,,,,,1st Round Pick,2578800
Jeff Green,greenje02,UTA,2564753,,,,,,,2564753
Pau Gasol,gasolpa01,POR,2564753,,,,,,,2564753
Wesley Matthews,matthwe02,MIL,2564753,2692991,,,,,Minimum Salary,2564753
Kyle Korver,korveky01,MIL,2564753,,,,,,Minimum Salary,2564753
Udonis Haslem,hasleud01,MIA,2564753,,,,,,Minimum Salary,2564753
Jared Dudley,dudleja01,LAL,2564753,,,,,,Minimum Salary,2564753
Rajon Rondo,rondora01,LAL,2564753,2619605,,,,,Minimum Salary,2564753
Dwight Howard,howardw01,LAL,2564753,,,,,,Minimum Salary,2564753
Thabo Sefolosha,sefolth01,HOU,2564753,,,,,,Minimum Salary,2564753
Tyson Chandler,chandty01,HOU,2564753,,,,,,Minimum Salary,2564753
Gerald Green,greenge01,DEN,2564753,,,,,,,2564753
J.J. Barea,bareajo01,DAL,2564753,,,,,,Minimum Salary,2564753
Wilson Chandler,chandwi01,BRK,2564753,,,,,,Minimum Salary,2564753
Nenê Hilário,hilarne01,ATL,2564753,,,,,,,2564753
Vince Carter,cartevi01,ATL,2564753,,,,,,Minimum Salary,2564753
Josh Okogie,okogijo01,MIN,2530680,2651040,4087904,,,,1st Round Pick,5181720
Vincent Poirier,poirivi01,BOS,2505793,2619207,,,,,Minimum Salary,5125000
